plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m
12249,1581.1434141575935,431.28086698394617,431.4427720104327,348.2568695812985,2,1,6,3,0
12277,625.5997864341344,472.9685458067965,297.2755055013194,333.818620939935,1,0,6,2,1
12279,2033.8206786382798,112.35899949015031,218.71512060117928,62.260026564929866,3,1,11,3,0
12305,775.8398691039564,452.75590157381953,789.6414284883714,361.5615133804933,0,0,8,5,1
12307,823.9687970774538,575.7748984902248,141.70744628530534,26.28507670697725,1,0,7,1,1
12309,1491.3095935680753,48.317399831798596,474.8679931979538,221.8810562184532,0,2,7,3,0
12347,1646.73763825739,594.0132563645349,537.8538702281431,321.0905729396131,0,0,9,3,0
12349,2177.2503985556677,158.93169532987378,462.89354038494537,459.7333497841757,0,0,1,2,0
12351,736.3733905483971,487.4623996828146,811.3853238798099,430.5874603555072,3,4,19,7,2
12353,332.4178410847493,295.3722169635447,630.5999938146357,198.2092414080248,1,2,7,6,2
12355,561.918770721175,475.80516116269774,324.7905824190405,784.9471080965735,3,0,8,1,1
12357,872.4437348613855,711.0715879395979,707.2948256186842,201.90615159821047,0,0,13,0,1
12359,385.5108446686486,30.19237455337755,27.379008191033048,589.3689956487043,4,0,14,4,2
12435,1364.4140963312454,255.58914818986315,310.29729738185574,343.8533240031816,1,0,7,2,0
12437,429.2076874614602,195.39929766291002,723.9907253044879,116.14966352148157,8,8,13,8,1
12439,303.02076049430946,149.6224974948794,426.61527154575913,129.0007251994302,13,8,38,19,1
12459,1528.6517498835592,399.9365406037536,378.3971481454601,348.84436135791736,2,2,15,9,0
12487,1297.3213865329212,46.16156923302649,272.02314917179683,211.86113271256787,4,1,9,2,0
12489,2960.7677414949508,163.6173704972305,975.4612930628463,99.75533082529424,15,4,34,9,0
12524,1302.4194444773182,552.4048107721833,556.9404110172845,657.7510840795412,0,0,5,0,0
12526,1112.5743296445658,1089.3600703167556,174.37050851928342,229.0994015939313,1,0,2,2,0
12527,4156.715786653738,1066.755848256194,1035.9404100232255,1131.8324648590933,1,0,1,1,0
12555,342.3900375742701,178.4522591224805,460.11271568311537,120.51025445763955,5,5,9,8,1
12557,2094.188109716159,241.1625895601831,623.5113251520829,285.87683473485976,0,1,5,1,0
12559,4268.379188342305,772.575643647397,1146.514963412313,221.660626149007,0,0,4,0,0
12587,840.1258233991375,455.39771292212714,1489.7861235605505,628.6722811795054,0,0,12,2,1
12589,1199.828271172929,1409.1572265769794,270.1638302681385,343.7976914202156,0,0,0,0,0
12619,371.45570201015596,163.96355364753816,426.0241305034313,281.6855001324238,5,3,7,5,2
12621,1154.9501291143672,232.02452354866597,341.3750593138729,612.9855774270674,1,0,2,1,0
12623,1574.1714665121326,206.4568852076438,209.0923597299987,414.67249159226867,2,0,4,0,0
12627,260.6391880710112,104.43677334023575,688.4477590631484,230.01943658749428,7,1,11,4,2
12629,878.84367679011,202.1227951521881,190.20037868700976,281.67797781186863,2,1,9,2,1
12679,1398.01593665308,178.4764499360343,53.804362513193844,264.78538017473,2,0,13,4,0
12681,747.4711615325308,223.7633721692566,95.35205402059307,311.8176817605077,1,0,6,4,1
12683,254.1527182519379,246.3297032063296,355.05170844512685,125.36464555085475,3,2,4,3,2
12685,1431.7195671660386,147.04356266979255,189.7268157063976,364.81528697657285,4,2,12,4,0
12687,1637.5466610463434,161.70064429314604,396.9230601972006,271.4471168830308,3,5,6,5,0
12689,1078.5816681087667,212.22505956595577,31.26817853010157,86.1442783645911,3,2,6,6,0
13051,1242.624890886344,1048.97053812623,189.5135615267468,707.540518011618,0,0,2,0,0
13053,1701.956607952376,453.63553501110897,429.7826155865049,72.01768308697915,1,1,6,4,0
13055,2989.1419044723534,120.10094393647323,823.2662555989092,188.62505014760058,6,1,16,8,0
13057,1301.0050041021796,410.8777714947487,322.43733996447395,225.18970419078678,0,0,1,0,0
13059,1473.5589576708048,344.49784892117464,626.9330337165147,540.4701254742481,0,0,1,0,0
13086,1980.5539694320594,509.7417439204908,551.5025625625088,140.10926702133096,2,1,30,14,0
13088,2337.233974430586,379.7248859296743,544.2059695109695,89.32742471507511,2,0,6,2,0
13089,2178.2021512982546,429.37274081089384,347.0870974964913,394.08963668254944,3,1,3,1,0
13125,336.7141615904337,498.63181139963814,393.6801999820874,233.08310333310055,0,2,1,4,1
13127,2621.976577020656,426.7751348036794,955.9891287112898,368.61978239448837,1,2,2,5,0
13129,1104.8295128930763,404.0250957464878,488.0106946614118,291.6271849546803,1,0,1,1,0
13156,1671.846121334619,154.32366916216768,498.29777444981113,109.52896769519961,12,3,19,5,0
13158,1783.2387073893667,223.8357117102169,391.04333558502924,219.7572077485091,2,2,9,3,0
13159,3428.698796759952,1782.7582893060323,354.41028020676845,570.4108989027648,0,0,2,0,0
13187,380.58400165257683,105.07502111057556,549.8208616167433,74.9857809946702,22,9,47,18,2
13189,745.8709536094648,489.64536273763787,777.9320659479919,71.86697437148041,2,2,20,18,3
13347,441.63081708953854,219.74360838980738,442.71642773219793,43.30463960159196,42,29,121,71,6
13349,578.3855029011074,52.36062407874447,828.2707290341132,159.31490064072548,4,2,47,31,2
13351,677.0910075965957,128.26140814001337,332.154151681816,238.487379806289,5,3,36,21,1
13353,52.63207390514962,201.3297719004604,423.78201035470863,253.80460543326876,26,12,97,49,6
13355,258.62441441651305,92.58539606693842,415.93799531377607,61.520730181591,11,6,57,25,5
13357,238.36986493108782,16.364098173839423,344.66115638857735,177.2334539661116,29,17,68,43,4
13359,766.4840085237021,237.43289900531175,92.14884361851269,71.15665409961154,15,13,62,54,3
13403,1009.1098131894981,102.9692555121367,171.94199569706512,397.59629976478305,1,1,14,6,0
13405,1295.9649587610418,1050.161428646188,693.4397274496079,942.2621279512786,0,0,0,0,0
13407,247.82997520117627,293.3169666919587,668.9383661640172,237.67307366253746,3,0,14,8,4
13409,699.2459185493586,100.89528851393196,477.6095144541786,128.127745571936,6,7,33,25,3
13435,1004.7777328396184,223.68257559925522,181.30671015639274,206.77081809584385,1,1,11,5,0
13437,415.21646416292924,70.81570748786875,346.179196077752,99.40669725032816,6,0,16,3,2
13439,2212.122021198434,226.62616446666934,645.8369415714249,123.04687571925872,0,0,7,4,0
13465,834.7121562245566,36.28227206370345,142.79958539631724,137.8296324809451,0,0,9,5,1
13467,1075.9028317204652,367.8448807937793,297.3615821896232,252.93871711989328,4,0,19,1,0
13469,1222.021567558369,96.4948704492586,188.36127394818666,130.1424474606164,2,1,7,3,0
13503,1945.5156260527303,1165.6512194627267,725.8585157059726,145.4110835864662,1,1,2,1,0
13505,2801.73324429031,242.1849970972744,888.5704114014627,571.5130153021641,0,0,2,0,0
13507,1321.4583877144482,118.00217386591254,109.95629327816687,213.2109784154803,0,1,0,2,0
13509,642.0202093855839,22.00667156235146,278.237941703399,184.95694527750717,0,0,20,8,2
13581,1294.8172126332204,378.3383680161117,1135.3257496644753,553.6327177097602,0,0,3,4,0
13583,1611.1723084867444,448.9694186636368,352.1427777233402,108.36973748842372,1,1,5,2,0
13585,932.9331714788733,134.34226850584162,253.388494278527,41.03443828106123,10,4,34,11,1
13587,4233.474428379561,804.9894895589999,468.4674661301395,540.8378882858908,0,0,4,0,0
13589,3044.142971182248,624.1870682275193,647.227435219495,554.6963648561007,0,0,5,0,0
13591,3914.0762540882693,214.01103874346737,437.1162018222903,160.63679385768748,0,0,4,1,0
13593,3016.452789142899,190.92197889302156,1422.7548079180667,137.26858880353228,3,0,10,3,0
13595,2120.535435510288,242.7881634862922,259.56492242286413,544.1881064725093,5,2,10,5,0
13597,1132.9279673999506,340.0400326214404,512.8155696180751,947.8231385093711,0,0,1,0,0
13599,999.5057319342045,227.32539393170168,512.6079079917155,69.46215622396151,2,0,7,3,0
