plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m,ndvi_mean,ndvi_std,ndvi_median,ndwi_mean,ndwi_std,ndwi_median,ndbi_mean,ndbi_std,ndbi_median
10317,475.4401795699444,255.16088789004272,564.1407049240551,271.5672227534991,1,1,20,10,1,0.2736293136594734,0.15016818901112902,0.26829269528388977,-0.2640120102500478,0.13778624953100677,-0.26748788356781006,-0.06493692214555523,0.10341897324785047,-0.05713358148932457
10318,297.82869249932645,116.17058010350364,497.2992695561695,253.3915582725809,15,3,21,3,1,0.28695478270270053,0.1329072835331235,0.2787831127643585,-0.2891848661084364,0.11173335907459687,-0.2887738347053528,-0.05606710392363658,0.0920203453316916,-0.0511917844414711
10319,315.5918069289374,107.28222115634571,175.72173539389533,357.0147875204909,5,2,14,6,2,0.3657426927687333,0.17565394149217597,0.3950808644294739,-0.35028240290875495,0.15282252948247216,-0.3751479387283325,-0.11642261211987862,0.11825484189586738,-0.11796610057353973
10365,1058.9828327913451,324.17853480707595,667.6777111104526,231.9979193046332,0,0,20,9,0,0.20621443767936862,0.1662613503737565,0.16640423238277435,-0.2086353002876769,0.145361300334596,-0.1814671754837036,-0.029652722174192063,0.1030900976714373,-0.01752755418419838
10367,1236.3730648225649,202.1990996031572,642.8102920034862,165.48132133837424,8,2,26,10,0,0.25378774298916507,0.1498264969082125,0.23353908956050873,-0.25240440392965263,0.1319046217086909,-0.24335195124149323,-0.04558017553228569,0.10368078307486182,-0.042437490075826645
10369,1031.789320743112,187.29619359948867,390.69522218093806,234.5613691073667,7,2,17,8,0,0.30174306136472273,0.15324223045435006,0.2969340682029724,-0.289756555141553,0.13607544911611164,-0.29070809483528137,-0.0854936921107292,0.10140347711340325,-0.08353838324546814
10405,949.6187879136596,385.3028822689299,613.1456710362089,0.8564974359707012,97,20,274,57,1,0.1782349208689277,0.11408229481865552,0.14702631533145905,-0.18810004803746175,0.09918463335284915,-0.16712677478790283,-0.0034588649992460686,0.08610480588476584,0.005090772174298763
10407,647.8203222773565,491.55659603713815,1141.9625178160788,138.68689773984545,4,2,22,12,2,0.2521047287035931,0.16386653798622328,0.22783882915973663,-0.24673287250039835,0.14374206089248878,-0.2340807169675827,-0.04803324438557466,0.11030606608352041,-0.04006832093000412
10409,490.4963429976891,230.79794880899223,777.7036342213413,147.92532986444135,7,9,32,26,1,0.26389638607169025,0.14900734078893257,0.2451397329568863,-0.2569383471505479,0.1287398201076092,-0.24574142694473267,-0.0649081200027077,0.10129027574782633,-0.06008708477020264
10435,496.3955566294095,316.83939179859743,679.1587955237892,158.704260156948,116,21,421,80,3,0.2189059441233813,0.1437353596260093,0.1803761124610901,-0.22744635757134885,0.12383152374602589,-0.20314477384090424,-0.020178129235092473,0.10365777706173922,-0.007049981039017439
10437,410.6830704585319,408.6099801196556,619.7393597671713,40.28355199445651,94,22,318,80,3,0.19543513069649004,0.12444449624633126,0.16350114345550537,-0.20365505566269285,0.1093835755216218,-0.18034245073795319,-0.016829730326555128,0.09432845325074633,-0.006287845317274332
